The Absolute Way;Relative Way;Class
C:\labs\pp_lab3\dataset\download_data\zebra\0000.jpg;dataset/download_data/zebra/0000.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0001.jpg;dataset/download_data/zebra/0001.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0002.jpg;dataset/download_data/zebra/0002.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0003.jpg;dataset/download_data/zebra/0003.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0004.jpg;dataset/download_data/zebra/0004.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0005.jpg;dataset/download_data/zebra/0005.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0006.jpg;dataset/download_data/zebra/0006.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0007.jpg;dataset/download_data/zebra/0007.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0008.jpg;dataset/download_data/zebra/0008.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0009.jpg;dataset/download_data/zebra/0009.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0010.jpg;dataset/download_data/zebra/0010.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0011.jpg;dataset/download_data/zebra/0011.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0012.jpg;dataset/download_data/zebra/0012.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0013.jpg;dataset/download_data/zebra/0013.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0014.jpg;dataset/download_data/zebra/0014.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0015.jpg;dataset/download_data/zebra/0015.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0016.jpg;dataset/download_data/zebra/0016.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0017.jpg;dataset/download_data/zebra/0017.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0018.jpg;dataset/download_data/zebra/0018.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0019.jpg;dataset/download_data/zebra/0019.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0020.jpg;dataset/download_data/zebra/0020.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0021.jpg;dataset/download_data/zebra/0021.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0022.jpg;dataset/download_data/zebra/0022.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0023.jpg;dataset/download_data/zebra/0023.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0024.jpg;dataset/download_data/zebra/0024.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0025.jpg;dataset/download_data/zebra/0025.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0026.jpg;dataset/download_data/zebra/0026.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0027.jpg;dataset/download_data/zebra/0027.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0028.jpg;dataset/download_data/zebra/0028.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0029.jpg;dataset/download_data/zebra/0029.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0030.jpg;dataset/download_data/zebra/0030.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0031.jpg;dataset/download_data/zebra/0031.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0032.jpg;dataset/download_data/zebra/0032.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0033.jpg;dataset/download_data/zebra/0033.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0034.jpg;dataset/download_data/zebra/0034.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0035.jpg;dataset/download_data/zebra/0035.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0036.jpg;dataset/download_data/zebra/0036.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0037.jpg;dataset/download_data/zebra/0037.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0038.jpg;dataset/download_data/zebra/0038.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0039.jpg;dataset/download_data/zebra/0039.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0040.jpg;dataset/download_data/zebra/0040.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0041.jpg;dataset/download_data/zebra/0041.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0042.jpg;dataset/download_data/zebra/0042.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0043.jpg;dataset/download_data/zebra/0043.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0044.jpg;dataset/download_data/zebra/0044.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0045.jpg;dataset/download_data/zebra/0045.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0046.jpg;dataset/download_data/zebra/0046.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0047.jpg;dataset/download_data/zebra/0047.jpg;zebra
C:\labs\pp_lab3\dataset\download_data\zebra\0048.jpg;dataset/download_data/zebra/0048.jpg;zebra
